beanie,1.080357,0.731651,-1.303520,0.472108,-0.771890,-3.347047,-3.531154,-5.226018,9.635361,-6.942791,-9.507427
beanie,0.964384,0.769186,0.285977,0.364322,-0.770824,-3.838121,-3.440775,-5.033634,9.253660,-6.952315,-9.421311
beanie,1.002519,0.579611,0.731936,0.383139,-0.775100,-3.752622,-3.452616,-5.284219,9.495977,-7.161277,9.858829
beanie,1.021164,0.679689,0.701649,0.496850,-0.781555,-3.265841,-3.866633,-5.910791,9.968397,-7.544498,-9.943268
beanie,0.981087,0.575294,-0.764639,0.436410,-0.771858,-3.499274,-3.426814,-5.259857,9.567549,-7.065287,9.550103
perfume,0.624088,0.686601,0.200533,0.833441,-0.709914,-1.967800,-3.517053,-4.366988,-8.300276,-5.351433,9.818032
perfume,0.847107,0.543963,-0.613747,0.850131,-0.697628,-1.889884,-3.498270,-4.321003,-8.223340,-5.265972,-9.793711
perfume,0.883019,0.543428,-0.642867,0.868176,-0.685660,-1.808114,-3.589892,-4.341564,-8.301268,-5.253757,9.185040
perfume,0.554455,0.786323,0.024010,0.826523,-0.712321,-1.994699,-3.492703,-4.413816,-8.357107,-5.411473,-9.832055
perfume,1.642857,0.604965,-1.240119,0.887079,-0.662439,-1.700816,-3.476349,-4.261857,-8.126452,-5.116534,-9.167193
box,0.684524,0.567779,0.383079,0.911644,-0.630963,-1.558183,-3.508891,-4.577914,8.621589,5.371155,-9.102779
box,0.372807,0.859236,0.010872,0.933466,-0.586375,-1.397469,-3.879249,-4.884334,9.355158,5.735449,-9.283374
box,1.398406,0.485670,1.071539,0.932920,-0.589631,-1.405780,-3.874938,-4.815259,9.647323,5.913134,-9.108009
box,0.696570,0.518799,0.446159,0.932532,-0.589165,-1.406128,-3.875723,-4.759000,-9.577651,6.781313,9.035047
box,0.408019,0.819269,0.061417,0.933594,-0.586146,-1.396585,-3.782123,-4.623872,-9.187363,-6.202037,8.828355
mouse,0.797727,0.189653,-0.487901,0.817082,-0.366929,-1.334052,-1.851357,-1.889887,-3.895821,-2.640594,-3.927372
mouse,0.474124,0.293905,0.166872,0.842914,-0.369657,-1.257022,-1.295734,-1.396325,-2.751245,-2.045781,3.440699
mouse,1.524138,0.402286,1.386893,0.718306,-0.565421,-2.048495,-2.876471,-2.710047,-5.871282,-4.138063,5.547352
mouse,0.839695,0.357553,-0.451835,0.688828,-0.546733,-2.107855,-2.901141,-2.492387,-5.614032,-3.780813,5.222228
mouse,0.480000,0.272949,-0.072019,0.938996,-0.197054,-0.600559,-1.142714,-0.936791,-1.985926,-1.238702,2.663451
book,0.694789,0.959305,0.018602,0.720209,-0.751405,-2.414261,-6.236319,-7.633351,9.999998,9.042382,-9.999989
book,0.930693,0.551118,0.556125,0.715852,-0.752390,-2.430435,-6.959961,-7.903150,9.999999,9.096207,-9.999998
book,1.364742,0.716641,-1.350465,0.781031,-0.733098,-2.181547,-4.830947,-6.126585,9.999980,-8.063417,9.989358
book,1.935484,0.643593,-1.408070,0.932831,-0.531741,-1.290292,-2.414400,-3.082377,-5.886158,-3.812815,-6.154349
book,1.111111,0.585734,-1.129491,0.673027,-0.760129,-2.587129,-4.861118,-7.978805,9.999988,9.235203,-9.999988
